common_name,scientific_name,n_records,n_complete,has_data,rank
House Finch,Haemorhous mexicanus,3119053,2953715,0,1
Black Phoebe,Sayornis nigricans,2766858,2630395,0,2
Anna's Hummingbird,Calypte anna,2658580,2510972,0,3
American Crow,Corvus brachyrhynchos,2650372,2480528,0,4
Mourning Dove,Zenaida macroura,2193094,2075986,0,5
California Scrub-Jay,Aphelocoma californica,2061503,1940961,0,6
Common Raven,Corvus corax,2069675,1931072,0,7
California Towhee,Melozone crissalis,2017817,1913563,0,8
Lesser Goldfinch,Spinus psaltria,1932262,1834665,0,9
Song Sparrow,Melospiza melodia,1908469,1822729,0,10
White-crowned Sparrow,Zonotrichia leucophrys,1794206,1700089,0,11
Mallard,Anas platyrhynchos,1784517,1699305,0,12
Turkey Vulture,Cathartes aura,1789068,1667967,0,13
Red-tailed Hawk,Buteo jamaicensis,1656973,1544491,0,14
Yellow-rumped Warbler,Setophaga coronata,1472101,1394199,0,15
European Starling,Sturnus vulgaris,1463691,1393443,0,16
Spotted Towhee,Pipilo maculatus,1417161,1345753,0,17
Bushtit,Psaltriparus minimus,1379488,1313910,0,18
Western Gull,Larus occidentalis,1341968,1270919,0,19
Bewick's Wren,Thryomanes bewickii,1336089,1268929,0,20
Northern Mockingbird,Mimus polyglottos,1311951,1237048,0,21
Double-crested Cormorant,Nannopterum auritum,1295944,1234312,0,22
Nuttall's Woodpecker,Dryobates nuttallii,1262147,1208465,0,23
American Robin,Turdus migratorius,1219401,1147311,0,24
Acorn Woodpecker,Melanerpes formicivorus,1151018,1089382,0,25
Great Egret,Ardea alba,1152903,1085898,0,26
Canada Goose,Branta canadensis,1135258,1069356,0,27
Western Bluebird,Sialia mexicana,1125111,1062908,0,28
Oak Titmouse,Baeolophus inornatus,1105639,1052780,0,29
Ruby-crowned Kinglet,Corthylio calendula,1082328,1037993,0,30
American Coot,Fulica americana,1075730,1025231,0,31
Dark-eyed Junco,Junco hyemalis,1030200,960599,0,32
Great Blue Heron,Ardea herodias,992828,938823,0,33
Red-winged Blackbird,Agelaius phoeniceus,976456,929242,0,34
Snowy Egret,Egretta thula,969862,916582,0,35
Eurasian Collared-Dove,Streptopelia decaocto,956231,897037,0,36
Killdeer,Charadrius vociferus,906846,864401,0,37
California Gull,Larus californicus,899300,857795,0,38
House Sparrow,Passer domesticus,902273,841446,0,39
Northern Flicker,Colaptes auratus,883499,836616,0,40
Red-shouldered Hawk,Buteo lineatus,884036,827505,0,41
Golden-crowned Sparrow,Zonotrichia atricapilla,850393,812670,0,42
Orange-crowned Warbler,Leiothlypis celata,839024,796115,0,43
Chestnut-backed Chickadee,Poecile rufescens,843878,791980,0,44
Allen's Hummingbird,Selasphorus sasin,831915,785764,0,45
Pied-billed Grebe,Podilymbus podiceps,783644,753508,0,46
Common Yellowthroat,Geothlypis trichas,774225,747766,0,47
Brewer's Blackbird,Euphagus cyanocephalus,767992,717577,0,48
Wrentit,Chamaea fasciata,733860,697596,1,49
California Quail,Callipepla californica,717297,670300,0,50
American Kestrel,Falco sparverius,706543,654596,0,51
